Trial_Number,Sampler,Objective_Value,datetime_start,datetime_complete,Duration,SVM_C,Classifier,Entropy_Delay,Denoiser,EMD_Threshold,Feature,HFD_Kmax,KNN_Metric,KNN_Neighbors,MLP_Learning_Rate,LR_C,MLP_Units,Entropy_Order,PCA_param,RF_MinSamplesSplit,RF_Estimators,SVM_Kernel,WPD_Threshold,WPD_Wavelet,Cache_Size,Classification_Time,SignalProcessing_Time,HPOptimization_Time,State,Random_Seed
171,QMC,0.007389173,33:41.0,34:21.9,0 days 00:00:40.874708,0.000234204,SVM,,NONE,,WAVE,,,,,,,,1,,,sigmoid,,,,,0.23,,PRUNED,1
172,QMC,0.142149296,34:21.9,34:24.0,0 days 00:00:02.144459,,RF,,NONE,,COV,,,,,,,,0.75,910,92,,,,,,1.07,,PRUNED,1
173,QMC,0.057938842,34:24.0,35:54.0,0 days 00:01:29.997709,,KNN,3,EMD,0.45,ENT,,manhattan,10,,,,3,0.7,,,,,,,,89.63,,PRUNED,1
174,QMC,0.098018192,35:54.0,35:58.2,0 days 00:00:04.183226,,RF,,EMD,0.6,COV,,,,,,,,0.95,1010,302,,,,,,0.5,,PRUNED,1
175,QMC,0.022319541,35:58.2,36:04.9,0 days 00:00:06.704357,0.342568353,SVM,,NONE,,FRAC,9,,,,,,,0.8,,,rbf,,,,,0.1,,PRUNED,1
176,QMC,-0.000640066,36:05.0,36:05.4,0 days 00:00:00.467096,,LR,,NONE,,WAVE,,,,,0.255825452,,,0.55,,,,,,,,0.29,,PRUNED,1
177,QMC,0.062966271,36:05.4,36:07.5,0 days 00:00:02.093071,,RF,,NONE,,STAT,,,,,,,,0.5,510,212,,,,,,0.23,,PRUNED,1
178,QMC,0.059970572,36:07.5,36:09.0,0 days 00:00:01.446652,,RF,,NONE,,STAT,,,,,,,,0.8,710,82,,,,,,0.2,,PRUNED,1
179,QMC,0.27076,36:09.0,37:41.3,0 days 00:01:32.283479,,KNN,8,WPD,,ENT,,manhattan,5,,,,4,0.95,,,,0.35,sym9,55974.99,1.12,91.04,0.055889397,COMPLETE,1
180,QMC,0.079651985,37:41.3,37:42.8,0 days 00:00:01.485558,6.280309007,SVM,,EMD,0.8,COV,,,,,,,,0.65,,,linear,,,,,0.49,,PRUNED,1
181,QMC,0.039130594,37:42.8,38:19.2,0 days 00:00:36.423900,0.000440208,SVM,,NONE,,FRAC,28,,,,,,,0.75,,,rbf,,,,,29.78,,PRUNED,1
182,QMC,0.31711,38:19.2,40:07.0,0 days 00:01:47.807439,,MLP,,WPD,,WAVE,,,,0.020169146,,20,,1,,,,0.5,db6,56165.28,35.22,72.37,0.045774479,COMPLETE,1
183,QMC,0.19258,40:07.1,41:05.9,0 days 00:00:58.843165,,MLP,,WPD,,COV,,,,0.006378044,,4,,0.85,,,,0.75,sym9,56295.55,8.92,49.67,0.045630236,COMPLETE,1
184,QMC,-0.019064987,41:05.9,41:13.1,0 days 00:00:07.132241,0.000912806,SVM,,WPD,,WAVE,,,,,,,,0.6,,,sigmoid,0.25,coif1,,,0.44,,PRUNED,1
185,QMC,-0.000640066,41:13.1,41:13.5,0 days 00:00:00.454969,,LR,,NONE,,WAVE,,,,,0.727192718,,,0.55,,,,,,,,0.29,,PRUNED,1
186,QMC,0.022234289,41:13.5,42:17.8,0 days 00:01:04.308319,,MLP,,WPD,,STAT,,,,0.085052582,,75,,0.85,,,,0.9,db6,,,62.23,,PRUNED,1
187,QMC,-0.018012832,42:17.9,42:33.3,0 days 00:00:15.493488,0.0024779,SVM,,EMD,0.6,STAT,,,,,,,,0.95,,,sigmoid,,,,,0.49,,PRUNED,1
188,QMC,0.037719668,42:33.4,42:33.9,0 days 00:00:00.543338,,LR,,WPD,,WAVE,,,,,0.330040231,,,0.7,,,,0.65,coif1,,,0.35,,PRUNED,1
189,QMC,0.015500819,42:33.9,42:34.4,0 days 00:00:00.465188,,LR,,NONE,,WAVE,,,,,0.916658447,,,0.65,,,,,,,,0.3,,PRUNED,1
190,QMC,0.066029072,42:34.4,42:47.6,0 days 00:00:13.178396,,MLP,,EMD,0.05,STAT,,,,0.004782858,,178,,0.9,,,,,,,,0.26,,PRUNED,1
191,QMC,0.33615,42:47.6,42:50.4,0 days 00:00:02.844364,,KNN,,EMD,0.6,COV,,manhattan,12,,,,,0.75,,,,,,56759.43,2.25,0.45,0.044947882,COMPLETE,1
192,QMC,0.054322883,42:50.4,42:52.9,0 days 00:00:02.431805,,RF,,EMD,0.25,WAVE,,,,,,,,0.5,710,242,,,,,,0.4,,PRUNED,1
193,QMC,0.051482487,42:52.9,42:53.8,0 days 00:00:00.903834,,RF,,NONE,,STAT,,,,,,,,0.5,510,32,,,,,,0.25,,PRUNED,1
194,QMC,0.096418423,42:53.8,44:37.2,0 days 00:01:43.366255,,RF,6,EMD,0.4,ENT,,,,,,,7,0.75,110,232,,,,,,101.45,,PRUNED,1
195,QMC,0.23898,44:37.2,44:46.9,0 days 00:00:09.675309,,MLP,,NONE,,COV,,,,0.049580682,,11,,0.9,,,,,,56803.97,9.12,0.41,0.036871443,COMPLETE,1
196,QMC,0.061703004,44:46.9,44:55.8,0 days 00:00:08.912591,,MLP,,NONE,,WAVE,,,,0.004958068,,360,,0.6,,,,,,,,0.3,,PRUNED,1
197,QMC,0.023854534,44:55.8,44:56.2,0 days 00:00:00.402606,,LR,,NONE,,STAT,,,,,0.443647679,,,0.7,,,,,,,,0.21,,PRUNED,1
198,QMC,0.09604693,44:56.2,44:57.0,0 days 00:00:00.774118,,LR,,EMD,0.9,WAVE,,,,,0.078615063,,,0.95,,,,,,,,0.35,,PRUNED,1
199,QMC,0.05775791,44:57.0,46:11.6,0 days 00:01:14.545651,,MLP,,EMD,0.65,WAVE,,,,0.008816831,,1,,0.85,,,,,,,,73.14,,PRUNED,1
0,QMC,0.05905,23:53.0,23:59.7,0 days 00:00:06.732362,,MLP,5,WPD,,ENT,,,,0.002327068,,2,2,0.6,,,,0.65,sym9,88171.94,6.25,0.31,0.064809361,COMPLETE,42
1,QMC,0.03704,23:59.7,24:05.0,0 days 00:00:05.292782,,MLP,1,NONE,,ENT,,,,0.001,,1,2,0.5,,,,,,88172.91,4.95,0.17,0.055308123,COMPLETE,42
2,QMC,0.07422,24:05.0,24:05.6,0 days 00:00:00.602416,0.000839986,SVM,8,NONE,,ENT,,,,,,,5,0.75,,,linear,,,88176.37,0.3,0.17,0.045999069,COMPLETE,42
3,QMC,0.01311,24:05.6,26:14.0,0 days 00:02:08.415071,0.000506549,SVM,12,NONE,,ENT,,,,,,,7,0.9,,,sigmoid,,,88200.99,30.96,97.3,0.045608778,COMPLETE,42
4,QMC,0.06201,26:14.1,26:15.5,0 days 00:00:01.472163,,RF,,EMD,0.35,STAT,,,,,,,,0.6,310,12,,,,88204.03,0.94,0.37,0.052711267,COMPLETE,42
5,QMC,0.093,26:15.6,26:17.6,0 days 00:00:02.092538,,KNN,,NONE,,FRAC,21,manhattan,3,,,,,0.7,,,,,,88205.55,1.78,0.16,0.048041601,COMPLETE,42
6,QMC,0.044302249,26:17.7,26:18.6,0 days 00:00:00.918474,,KNN,,EMD,0.9,STAT,,euclidean,4,,,,,0.95,,,,,,,,0.43,,PRUNED,42
7,QMC,0.039391829,26:18.6,26:19.4,0 days 00:00:00.817825,,LR,,EMD,0.55,WAVE,,,,,0.323270612,,,0.8,,,,,,,,0.58,,PRUNED,42
8,QMC,-0.009130101,26:19.4,26:27.3,0 days 00:00:07.880203,3.477998816,SVM,,NONE,,STAT,,,,,,,,0.55,,,sigmoid,,,,,0.32,,PRUNED,42
9,QMC,0.029277751,26:27.3,26:28.3,0 days 00:00:00.985501,,MLP,,EMD,0.2,STAT,,,,0.074989421,,4,,0.6,,,,,,,,0.41,,PRUNED,42
10,QMC,0.09386,26:28.3,26:30.0,0 days 00:00:01.671102,,RF,,NONE,,FRAC,36,,,,,,,0.85,1010,32,,,,88240.4,1.36,0.16,0.044329185,COMPLETE,42
11,QMC,0.21773,26:30.0,26:31.1,0 days 00:00:01.110953,,KNN,9,NONE,,ENT,,euclidean,18,,,,4,1,,,,,,88256.31,0.79,0.15,0.047429104,COMPLETE,42
12,QMC,0.11447,26:31.1,26:36.1,0 days 00:00:04.974710,,RF,,NONE,,FRAC,14,,,,,,,0.7,210,222,,,,88257.55,4.61,0.18,0.049094458,COMPLETE,42
13,QMC,-0.023999224,26:36.1,26:43.3,0 days 00:00:07.204507,0.942012179,SVM,,NONE,,STAT,,,,,,,,0.65,,,rbf,,,,,0.28,,PRUNED,42
14,QMC,0.1332,26:43.3,28:29.6,0 days 00:01:46.214547,,MLP,15,WPD,,ENT,,,,0.04216965,,59,5,0.9,,,,0.1,db6,88284.8,15.09,90.95,0.083930779,COMPLETE,42
15,QMC,0.13569,28:29.6,28:35.7,0 days 00:00:06.171646,,RF,,WPD,,WAVE,,,,,,,,0.8,810,272,,0.85,sym9,88287.43,5.38,0.63,0.043222446,COMPLETE,42
16,QMC,0.051989497,28:35.8,28:36.6,0 days 00:00:00.798823,,RF,,NONE,,STAT,,,,,,,,0.5,610,22,,,,,,0.33,,PRUNED,42
17,QMC,0.062487368,28:36.6,30:04.7,0 days 00:01:28.104677,,MLP,15,NONE,,ENT,,,,0.008659643,,13,3,0.55,,,,,,,,86.21,,PRUNED,42
18,QMC,0.0899,30:04.7,30:06.2,0 days 00:00:01.564991,,RF,8,EMD,1,ENT,,,,,,,7,0.8,10,22,,,,88307.34,1.17,0.24,0.05589798,COMPLETE,42
19,QMC,0.11922,30:06.3,31:43.4,0 days 00:01:37.096096,,RF,4,EMD,0.25,ENT,,,,,,,5,0.95,410,182,,,,88330.02,4.04,92.89,0.062727242,COMPLETE,42
20,QMC,0.10141,31:43.4,32:16.2,0 days 00:00:32.831677,,RF,,WPD,,FRAC,26,,,,,,,0.65,410,132,,0.45,sym9,88347.17,2.92,29.76,0.058542995,COMPLETE,42
21,QMC,0.17712,32:16.2,32:18.1,0 days 00:00:01.837967,,KNN,,WPD,,WAVE,,minkowski,11,,,,,0.75,,,,0.3,db6,88348.28,0.98,0.7,0.046552677,COMPLETE,42
22,QMC,0.14766,32:18.1,32:20.6,0 days 00:00:02.500758,,LR,,NONE,,WAVE,,,,,0.735097537,,,1,,,,,,88427.24,1.91,0.35,0.037852297,COMPLETE,42
23,QMC,0.12865,32:20.6,32:26.0,0 days 00:00:05.346678,,RF,,EMD,0.15,WAVE,,,,,,,,0.85,810,232,,,,88429.87,4.7,0.49,0.045043726,COMPLETE,42
24,QMC,0.007721399,32:26.0,33:59.1,0 days 00:01:33.177822,,MLP,9,EMD,0.65,ENT,,,,0.001539927,,173,4,0.6,,,,,,,,89.31,,PRUNED,42
25,QMC,-0.005044097,33:59.2,33:59.8,0 days 00:00:00.642397,,LR,,EMD,0.15,WAVE,,,,,0.350979921,,,0.55,,,,,,,,0.48,,PRUNED,42
26,QMC,0.23812,33:59.8,35:58.5,0 days 00:01:58.694925,,MLP,3,WPD,,ENT,,,,0.001154782,,47,4,0.85,,,,0.35,db4,88465.83,28.26,90.28,0.070067682,COMPLETE,42
27,QMC,0.15948,35:58.5,36:28.5,0 days 00:00:29.930943,,KNN,,EMD,1,FRAC,16,manhattan,3,,,,,0.95,,,,,,88485.61,0.62,29.15,0.0589011,COMPLETE,42
28,QMC,0.014273322,36:28.5,37:46.3,0 days 00:01:17.811515,0.0412562,SVM,,WPD,,WAVE,,,,,,,,0.7,,,rbf,0.1,coif1,,,73.01,,PRUNED,42
29,QMC,0.096834621,37:46.3,37:47.9,0 days 00:00:01.558220,,LR,,WPD,,COV,,,,,0.698191898,,,0.65,,,,0.25,coif1,,,1.06,,PRUNED,42
30,QMC,0.064114231,37:47.9,37:49.0,0 days 00:00:01.137388,,KNN,,WPD,,STAT,,manhattan,20,,,,,0.9,,,,0.75,db6,,,0.41,,PRUNED,42
31,QMC,0.038124308,37:49.0,37:50.0,0 days 00:00:00.944230,0.000442382,SVM,,EMD,0.7,WAVE,,,,,,,,0.75,,,linear,,,,,0.79,,PRUNED,42
32,QMC,0.028861866,37:50.0,39:28.4,0 days 00:01:38.379075,,RF,12,EMD,0.65,ENT,,,,,,,8,0.5,810,2,,,,,,98.16,,PRUNED,42
33,QMC,0.10962,39:28.4,39:29.9,0 days 00:00:01.571007,,KNN,,EMD,0.95,WAVE,,manhattan,13,,,,,0.5,,,,,,88601.64,0.89,0.51,0.048849363,COMPLETE,42
34,QMC,0.04640108,39:30.0,39:48.0,0 days 00:00:18.052391,,MLP,,EMD,0.65,STAT,,,,0.002548297,,101,,0.8,,,,,,,,0.5,,PRUNED,42
35,QMC,0.02681319,39:48.0,40:05.3,0 days 00:00:17.253087,0.020132321,SVM,,NONE,,COV,,,,,,,,0.9,,,sigmoid,,,,,0.62,,PRUNED,42
36,QMC,0.021916684,40:05.3,40:10.5,0 days 00:00:05.211590,0.007118041,SVM,,NONE,,FRAC,20,,,,,,,0.65,,,rbf,,,,,0.17,,PRUNED,42
37,QMC,0.024789666,40:10.5,40:20.2,0 days 00:00:09.651308,0.000125996,SVM,,EMD,0.15,COV,,,,,,,,0.7,,,sigmoid,,,,,0.61,,PRUNED,42
38,QMC,0.062788895,40:20.2,40:20.9,0 days 00:00:00.695844,,KNN,,EMD,0.65,STAT,,minkowski,13,,,,,1,,,,,,,,0.34,,PRUNED,42
39,QMC,-0.001547566,40:20.9,40:52.6,0 days 00:00:31.719373,,LR,,EMD,0.4,FRAC,39,,,,0.112127698,,,0.85,,,,,,,,31.57,,PRUNED,42
40,QMC,-0.004257053,40:52.6,41:00.0,0 days 00:00:07.414347,0.034518498,SVM,,EMD,0.3,WAVE,,,,,,,,0.55,,,sigmoid,,,,,0.5,,PRUNED,42
41,QMC,0.04017092,41:00.0,41:00.9,0 days 00:00:00.822266,,KNN,,EMD,0.35,STAT,,euclidean,16,,,,,0.6,,,,,,,,0.38,,PRUNED,42
42,QMC,0.2261,41:00.9,41:03.4,0 days 00:00:02.558821,,RF,,NONE,,WAVE,,,,,,,,0.9,110,62,,,,88722.1,1.94,0.46,0.036081324,COMPLETE,42
43,QMC,0.1554,41:03.4,42:17.9,0 days 00:01:14.448958,,LR,,WPD,,WAVE,,,,,0.502770118,,,1,,,,0.75,sym9,88880.02,1.65,72.54,0.065946131,COMPLETE,42
44,QMC,0.044820597,42:17.9,42:19.7,0 days 00:00:01.768376,,RF,,EMD,0.75,STAT,,,,,,,,0.75,210,92,,,,,,0.4,,PRUNED,42
45,QMC,0.044198549,42:19.7,42:22.0,0 days 00:00:02.266512,,RF,,NONE,,STAT,,,,,,,,0.65,710,222,,,,,,0.3,,PRUNED,42
46,QMC,0.098198825,42:22.0,42:54.7,0 days 00:00:32.703167,,RF,,WPD,,FRAC,29,,,,,,,0.95,610,152,,0.65,coif1,,,30.46,,PRUNED,42
47,QMC,0.045175009,42:54.7,44:20.5,0 days 00:01:25.776882,,MLP,6,EMD,0.15,ENT,,,,0.01910953,,2,2,0.8,,,,,,,,83.9,,PRUNED,42
48,QMC,0.002232845,44:20.5,45:55.4,0 days 00:01:34.898663,,LR,13,EMD,0.35,ENT,,,,,0.34641136,,6,0.55,,,,,,,,94.77,,PRUNED,42
49,QMC,0.034234859,45:55.4,46:23.6,0 days 00:00:28.204483,,KNN,,EMD,0.45,FRAC,5,manhattan,14,,,,,0.5,,,,,,,,27.79,,PRUNED,42
50,QMC,0.062464958,46:23.6,46:55.6,0 days 00:00:31.988737,,MLP,,EMD,0.8,FRAC,19,,,0.00392419,,81,,0.8,,,,,,,,29.41,,PRUNED,42
51,QMC,0.052037696,46:55.6,48:31.1,0 days 00:01:35.465983,,RF,13,EMD,0.7,ENT,,,,,,,6,0.95,710,42,,,,,,94.71,,PRUNED,42
52,QMC,0.052772092,48:31.1,48:31.4,0 days 00:00:00.284341,,LR,,NONE,,FRAC,34,,,,0.855710898,,,0.65,,,,,,,,0.14,,PRUNED,42
53,QMC,0.14185,48:31.4,48:33.3,0 days 00:00:01.874817,,LR,,WPD,,COV,,,,,0.817461817,,,0.7,,,,0.8,db4,89023.72,0.83,0.88,0.042382498,COMPLETE,42
54,QMC,0.097106986,48:33.3,49:09.6,0 days 00:00:36.319703,,MLP,,WPD,,FRAC,26,,,0.069783058,,193,,1,,,,0.3,db4,,,30.11,,PRUNED,42
55,QMC,0.054630006,49:09.6,49:10.4,0 days 00:00:00.745814,,KNN,,NONE,,STAT,,euclidean,14,,,,,0.85,,,,,,,,0.29,,PRUNED,42
56,QMC,0.14125,49:10.4,50:45.4,0 days 00:01:35.006691,,RF,7,WPD,,ENT,,,,,,,4,0.6,10,222,,0.05,db6,89072.68,4.63,90.23,0.066488543,COMPLETE,42
57,QMC,0.056945288,50:45.4,51:17.6,0 days 00:00:32.172406,,MLP,,WPD,,FRAC,6,,,0.002942727,,9,,0.55,,,,0.35,db4,,,28.29,,PRUNED,42
58,QMC,0.23431,51:17.6,51:49.1,0 days 00:00:31.520015,,KNN,,WPD,,FRAC,33,manhattan,19,,,,,0.85,,,,0.85,coif1,89110.02,0.66,30.7,0.066990652,COMPLETE,42
59,QMC,0.15499,51:49.1,52:28.1,0 days 00:00:38.951738,,RF,,NONE,,FRAC,29,,,,,,,0.95,10,282,,,,89135.6,8.59,30.2,0.046379824,COMPLETE,42
60,QMC,0.02583911,52:28.1,52:28.7,0 days 00:00:00.602450,,KNN,,NONE,,STAT,,minkowski,2,,,,,0.7,,,,,,,,0.3,,PRUNED,42
61,QMC,0.036915403,52:28.7,52:29.0,0 days 00:00:00.350931,,LR,,NONE,,FRAC,38,,,,0.52898424,,,0.6,,,,,,,,0.19,,PRUNED,42
62,QMC,0.18778,52:29.1,53:53.1,0 days 00:01:24.078366,,KNN,14,WPD,,ENT,,manhattan,5,,,,2,0.9,,,,0.25,db6,89164.51,0.93,82.98,0.068300762,COMPLETE,42
63,QMC,0.095275287,53:53.2,53:54.8,0 days 00:00:01.599558,,RF,,EMD,0.25,WAVE,,,,,,,,0.75,1010,52,,,,,,0.91,,PRUNED,42
64,QMC,0.051947978,53:54.8,54:08.2,0 days 00:00:13.469965,,MLP,,EMD,0.95,STAT,,,,0.005232991,,125,,0.5,,,,,,,,0.49,,PRUNED,42
65,QMC,0.072846119,54:08.3,54:41.6,0 days 00:00:33.359200,,RF,,EMD,0.15,FRAC,36,,,,,,,0.5,210,272,,,,,,31.06,,PRUNED,42
66,QMC,-0.004252059,54:41.6,54:50.2,0 days 00:00:08.595281,0.260791732,SVM,,EMD,0.5,STAT,,,,,,,,0.75,,,rbf,,,,,0.41,,PRUNED,42
67,QMC,0.093789527,54:50.2,55:23.3,0 days 00:00:33.062470,,RF,,WPD,,FRAC,36,,,,,,,0.9,710,212,,0.6,db4,,,31.04,,PRUNED,42
68,QMC,0.080183052,55:23.3,57:07.7,0 days 00:01:44.369491,,LR,3,WPD,,ENT,,,,,0.631850346,,8,0.65,,,,0.1,db4,,,104.18,,PRUNED,42
69,QMC,0.039416487,57:07.7,57:08.3,0 days 00:00:00.588949,,KNN,,WPD,,STAT,,minkowski,2,,,,,0.7,,,,0.25,coif1,,,0.34,,PRUNED,42
70,QMC,0.104524367,57:08.3,57:11.2,0 days 00:00:02.928741,,MLP,13,NONE,,ENT,,,,0.077736503,,19,3,0.95,,,,,,,,0.16,,PRUNED,42
71,QMC,0.040754461,57:11.2,57:11.9,0 days 00:00:00.659319,0.012549794,SVM,,NONE,,STAT,,,,,,,,0.85,,,linear,,,,,0.26,,PRUNED,42
72,QMC,0.036113512,57:11.9,57:44.2,0 days 00:00:32.334793,,RF,,EMD,0.85,FRAC,31,,,,,,,0.55,810,242,,,,,,30.19,,PRUNED,42
73,QMC,-0.028259559,57:44.3,57:53.3,0 days 00:00:09.081308,0.000209433,SVM,,EMD,0.35,STAT,,,,,,,,0.6,,,sigmoid,,,,,0.37,,PRUNED,42
74,QMC,0.083367212,57:53.4,59:28.3,0 days 00:01:34.974905,,KNN,10,EMD,0.65,ENT,,euclidean,5,,,,6,0.85,,,,,,,,94.5,,PRUNED,42
75,QMC,0.21593,59:28.3,59:31.6,0 days 00:00:03.242148,,LR,,EMD,0.25,COV,,,,,0.80060664,,,1,,,,,,89400.31,2.25,0.72,0.049299498,COMPLETE,42
76,QMC,0.011628499,59:31.6,59:37.0,0 days 00:00:05.376018,1.186111642,SVM,,NONE,,WAVE,,,,,,,,0.75,,,rbf,,,,,0.39,,PRUNED,42
77,QMC,0.15966,59:37.0,59:44.3,0 days 00:00:07.282860,,MLP,,EMD,0.2,COV,,,,0.010366329,,5,,0.65,,,,,,89408.19,6.35,0.75,0.046763439,COMPLETE,42
78,QMC,0.067845342,59:44.3,00:15.6,0 days 00:00:31.328188,,RF,,EMD,0.9,FRAC,30,,,,,,,0.95,510,72,,,,,,30.38,,PRUNED,42
79,QMC,0.17615,00:15.6,00:17.6,0 days 00:00:01.923877,,LR,,EMD,0.3,COV,,,,,0.421778755,,,0.8,,,,,,89450.51,1.09,0.64,0.049289246,COMPLETE,42
80,QMC,0.05792127,00:17.6,00:20.4,0 days 00:00:02.842790,,MLP,,WPD,,WAVE,,,,0.003278121,,29,,0.5,,,,0.55,db4,,,0.5,,PRUNED,42
81,QMC,0.032818014,00:20.4,00:49.7,0 days 00:00:29.259638,,LR,,WPD,,FRAC,15,,,,0.453844162,,,0.55,,,,0.5,db4,,,29.1,,PRUNED,42
82,QMC,0.25875,00:49.7,01:41.2,0 days 00:00:51.527522,,MLP,,EMD,0.6,COV,,,,0.002128752,,36,,0.8,,,,,,89495.73,50.62,0.71,0.049009104,COMPLETE,42
83,QMC,0.078264141,01:41.2,02:13.3,0 days 00:00:32.065757,,RF,,EMD,1,FRAC,39,,,,,,,0.95,110,12,,,,,,31.6,,PRUNED,42
84,QMC,0.048423572,02:13.3,02:30.5,0 days 00:00:17.179141,,MLP,,WPD,,STAT,,,,0.006731704,,204,,0.7,,,,0.75,sym9,,,0.4,,PRUNED,42
85,QMC,0.049145171,02:30.5,03:42.2,0 days 00:01:11.716504,,LR,,WPD,,WAVE,,,,,0.689557798,,,0.75,,,,0.65,db6,,,71.53,,PRUNED,42
86,QMC,0.075606281,03:42.2,04:13.0,0 days 00:00:30.722794,,MLP,,NONE,,STAT,,,,0.01197085,,485,,1,,,,,,,,0.27,,PRUNED,42
87,QMC,0.19818,04:13.0,04:14.1,0 days 00:00:01.126850,,KNN,,NONE,,FRAC,16,manhattan,14,,,,,0.9,,,,,,89658.09,0.79,0.19,0.043765087,COMPLETE,42
88,QMC,0.16675,04:14.1,04:16.1,0 days 00:00:01.966558,,KNN,14,NONE,,ENT,,minkowski,8,,,,7,0.6,,,,,,89659.89,1.64,0.17,0.044958611,COMPLETE,42
89,QMC,0.038445012,04:16.1,04:16.8,0 days 00:00:00.653553,,LR,,WPD,,STAT,,,,,0.351687525,,,0.55,,,,0.1,sym9,,,0.48,,PRUNED,42
90,QMC,0.2338,04:16.8,04:22.2,0 days 00:00:05.426605,,RF,,WPD,,WAVE,,,,,,,,0.85,110,212,,0.6,coif1,89664.73,4.59,0.67,0.048245926,COMPLETE,42
91,QMC,0.18918,04:22.2,04:25.4,0 days 00:00:03.149048,,LR,,EMD,0.4,COV,,,,,0.900033121,,,1,,,,,,89769.97,2.3,0.57,0.050284643,COMPLETE,42
92,QMC,0.019955439,04:25.4,04:26.0,0 days 00:00:00.575777,,LR,,WPD,,STAT,,,,,0.216818126,,,0.7,,,,0.85,coif1,,,0.39,,PRUNED,42
93,QMC,-0.004422269,04:26.0,04:26.6,0 days 00:00:00.651902,,LR,,EMD,0.15,WAVE,,,,,0.12848145,,,0.65,,,,,,,,0.49,,PRUNED,42
94,QMC,0.1921,04:26.6,04:41.7,0 days 00:00:15.023541,,MLP,,EMD,0.85,WAVE,,,,0.008976871,,56,,0.9,,,,,,89782.83,14.34,0.51,0.049494762,COMPLETE,42
95,QMC,0.32136,04:41.7,06:27.7,0 days 00:01:46.015009,,KNN,4,NONE,,ENT,,manhattan,2,,,,8,0.8,,,,,,89804.68,0.76,105.11,0.044368525,COMPLETE,42
96,QMC,0,06:27.7,06:28.4,0 days 00:00:00.701687,9.17101726,SVM,,EMD,0.55,WAVE,,,,,,,,0.5,,,linear,,,,,0.59,,PRUNED,42
97,QMC,0.021658812,06:28.4,06:29.1,0 days 00:00:00.700310,,LR,,NONE,,COV,,,,,0.55384686,,,0.5,,,,,,,,0.5,,PRUNED,42
98,QMC,0.088322249,06:29.1,07:53.9,0 days 00:01:24.774814,,RF,2,NONE,,ENT,,,,,,,2,0.75,910,112,,,,,,83.56,,PRUNED,42
99,QMC,0.012864137,07:53.9,09:20.9,0 days 00:01:27.009724,2.042078399,SVM,6,EMD,0.8,ENT,,,,,,,3,0.9,,,linear,,,,,86.86,,PRUNED,42
100,QMC,0.18123,09:20.9,09:25.1,0 days 00:00:04.181196,,RF,,WPD,,COV,,,,,,,,0.65,410,152,,0.65,sym9,89848.25,3.43,0.59,0.048147221,COMPLETE,42
101,QMC,0.017911378,09:25.1,10:01.1,0 days 00:00:35.907667,0.003283793,SVM,,EMD,0.55,FRAC,40,,,,,,,0.7,,,rbf,,,,,31.51,,PRUNED,42
102,QMC,0.046094053,10:01.1,10:01.9,0 days 00:00:00.792992,,LR,4,EMD,0.8,ENT,,,,,0.733641019,,4,1,,,,,,,,0.24,,PRUNED,42
103,QMC,0.085082648,10:01.9,10:03.0,0 days 00:00:01.153521,,MLP,,NONE,,WAVE,,,,0.011139739,,1,,0.85,,,,,,,,0.4,,PRUNED,42
104,QMC,0.091612837,10:03.0,10:04.7,0 days 00:00:01.694079,,RF,,EMD,0.8,WAVE,,,,,,,,0.55,510,122,,,,,,0.5,,PRUNED,42
105,QMC,0.054557382,10:04.7,11:27.8,0 days 00:01:23.099816,2.989432168,SVM,13,WPD,,ENT,,,,,,,2,0.6,,,linear,0.2,coif1,,,82.96,,PRUNED,42
106,QMC,0.059873396,11:27.9,13:01.2,0 days 00:01:33.384982,,LR,5,EMD,0.2,ENT,,,,,0.661404474,,5,0.85,,,,,,,,93.21,,PRUNED,42
107,QMC,0.024207381,13:01.3,13:12.1,0 days 00:00:10.868938,0.000404513,SVM,1,NONE,,ENT,,,,,,,7,1,,,rbf,,,,,0.15,,PRUNED,42
108,QMC,-0.019435594,13:12.1,13:19.3,0 days 00:00:07.211255,4.369363754,SVM,,NONE,,WAVE,,,,,,,,0.75,,,sigmoid,,,,,0.49,,PRUNED,42
109,QMC,0.055766202,13:19.4,13:19.6,0 days 00:00:00.290663,,LR,,NONE,,FRAC,31,,,,0.252315796,,,0.65,,,,,,,,0.15,,PRUNED,42
110,QMC,0.19426,13:19.7,15:03.3,0 days 00:01:43.634000,,KNN,7,WPD,,ENT,,minkowski,17,,,,8,0.95,,,,0.3,db6,89965.39,0.43,103.04,0.065214672,COMPLETE,42
111,QMC,0.046380499,15:03.3,15:06.7,0 days 00:00:03.336009,,MLP,,NONE,,STAT,,,,0.008353625,,5,,0.8,,,,,,,,0.4,,PRUNED,42
112,QMC,0.21073,15:06.7,15:09.4,0 days 00:00:02.782489,,KNN,,WPD,,COV,,manhattan,15,,,,,0.55,,,,0.05,db4,89974.1,1.57,1.03,0.050998945,COMPLETE,42
113,QMC,0.026082251,15:09.5,15:10.3,0 days 00:00:00.844012,,LR,,EMD,0.6,COV,,,,,0.093081341,,,0.5,,,,,,,,0.58,,PRUNED,42
114,QMC,0.10258534,15:10.3,16:39.9,0 days 00:01:29.589347,,RF,14,WPD,,ENT,,,,,,,4,0.8,310,12,,0.45,coif1,,,89.1,,PRUNED,42
115,QMC,0.149719932,16:39.9,18:02.8,0 days 00:01:22.823698,,KNN,10,EMD,0.4,ENT,,minkowski,16,,,,2,0.95,,,,,,,,82.52,,PRUNED,42
