Trial_Number,Sampler,Objective_Value,datetime_start,datetime_complete,Duration,SVM_C,Classifier,Entropy_Delay,Denoiser,EMD_Threshold,Feature,HFD_Kmax,KNN_Metric,KNN_Neighbors,MLP_Learning_Rate,LR_C,MLP_Units,Entropy_Order,PCA_param,RF_MinSamplesSplit,RF_Estimators,SVM_Kernel,WPD_Threshold,WPD_Wavelet,Cache_Size,Classification_Time,SignalProcessing_Time,HPOptimization_Time,State,Random_Seed
56,TPE,0.094924912,41:31.0,43:01.6,0 days 00:01:30.572868,,LR,2,WPD,,ENT,,,,,0.443876787,,4,0.95,,,,1,db6,,,90.21,,PRUNED,0
57,TPE,0.64504,43:01.6,43:55.2,0 days 00:00:53.578015,,KNN,,WPD,,COV,,manhattan,3,,,,,0.7,,,,0.95,coif1,60430.16,1.59,51.81,0.063783674,COMPLETE,0
58,TPE,0.53982,43:55.2,43:56.2,0 days 00:00:01.059237,,KNN,,WPD,,COV,,minkowski,3,,,,,0.6,,,,0.95,db4,60437.63,0.31,0.6,0.056895514,COMPLETE,0
59,TPE,0.70824,43:56.3,43:57.3,0 days 00:00:00.988216,,KNN,,WPD,,COV,,minkowski,1,,,,,0.6,,,,0.95,db4,60445.1,0.28,0.57,0.060666351,COMPLETE,0
60,TPE,0.41167,43:57.3,43:58.7,0 days 00:00:01.395380,,KNN,,EMD,0.7,COV,,minkowski,1,,,,,0.6,,,,,,60453.53,0.28,0.98,0.061560659,COMPLETE,0
61,TPE,0.53982,43:58.7,43:59.7,0 days 00:00:00.978627,,KNN,,WPD,,COV,,minkowski,3,,,,,0.6,,,,0.95,db4,60453.53,0.28,0.56,0.0589011,COMPLETE,0
62,TPE,0.64383,43:59.7,44:01.0,0 days 00:00:01.338456,,KNN,,WPD,,COV,,minkowski,2,,,,,0.6,,,,1,db4,60460.03,0.29,0.92,0.061075478,COMPLETE,0
63,TPE,0.64383,44:01.0,44:02.0,0 days 00:00:00.980329,,KNN,,WPD,,COV,,minkowski,2,,,,,0.6,,,,1,db4,60460.03,0.28,0.56,0.059728413,COMPLETE,0
64,TPE,0.64383,44:02.0,44:02.9,0 days 00:00:00.922504,,KNN,,WPD,,COV,,minkowski,2,,,,,0.6,,,,1,db4,60460.03,0.29,0.5,0.072418728,COMPLETE,0
65,TPE,0.79967,44:03.0,44:03.9,0 days 00:00:00.894303,,KNN,,WPD,,COV,,minkowski,1,,,,,0.6,,,,1,db4,60466.53,0.25,0.5,0.076707163,COMPLETE,0
66,TPE,0.68227,44:03.9,44:04.8,0 days 00:00:00.941663,,KNN,,WPD,,COV,,minkowski,1,,,,,0.55,,,,1,db4,60470.96,0.3,0.49,0.06339982,COMPLETE,0
67,TPE,0.083847698,44:04.8,44:05.7,0 days 00:00:00.918887,,LR,,WPD,,COV,,,,,0.524271319,,,0.55,,,,1,db4,,,0.49,,PRUNED,0
68,TPE,0.017273185,44:05.8,44:15.2,0 days 00:00:09.412224,0.042103327,SVM,,NONE,,COV,,,,,,,,0.65,,,sigmoid,,,,,0.57,,PRUNED,0
69,TPE,0.217428752,44:15.2,45:05.1,0 days 00:00:49.932013,,KNN,,WPD,,COV,,minkowski,1,,,,,0.55,,,,0.3,db4,,,49.45,,PRUNED,0
70,TPE,0.056734978,45:05.1,45:06.5,0 days 00:00:01.378886,,MLP,,WPD,,COV,,,,0.088468013,,8,,0.5,,,,1,db4,,,0.54,,PRUNED,0
71,TPE,0.64383,45:06.5,45:07.5,0 days 00:00:00.944377,,KNN,,WPD,,COV,,minkowski,2,,,,,0.6,,,,1,db4,60588.51,0.31,0.5,0.06071332,COMPLETE,0
72,TPE,0.64383,45:07.5,45:08.4,0 days 00:00:00.967240,,KNN,,WPD,,COV,,minkowski,2,,,,,0.6,,,,1,db4,60588.51,0.26,0.57,0.05959919,COMPLETE,0
73,TPE,0.41139,45:08.5,45:57.8,0 days 00:00:49.374806,,KNN,,WPD,,COV,,minkowski,1,,,,,0.65,,,,0.1,db4,60697.62,0.29,48.94,0.059420614,COMPLETE,0
74,TPE,0.284451387,45:57.9,45:58.8,0 days 00:00:00.897656,,KNN,,WPD,,COV,,minkowski,2,,,,,0.55,,,,0.85,db4,,,0.6,,PRUNED,0
75,TPE,0.73683,45:58.8,45:59.7,0 days 00:00:00.979585,,KNN,,WPD,,COV,,minkowski,2,,,,,0.7,,,,1,db4,60713.94,0.3,0.53,0.073149481,COMPLETE,0
76,TPE,0.177560319,45:59.8,46:49.7,0 days 00:00:49.949836,,RF,,WPD,,COV,,,,,,,,0.7,710,112,,0.55,db4,,,48.74,,PRUNED,0
77,TPE,0.66487,46:49.7,46:50.8,0 days 00:00:01.116924,,KNN,,WPD,,COV,,minkowski,1,,,,,0.65,,,,0.85,db4,60834.25,0.29,0.69,0.07155303,COMPLETE,0
78,TPE,0.77131,46:50.9,46:51.9,0 days 00:00:01.036706,,KNN,,WPD,,COV,,minkowski,1,,,,,0.7,,,,0.85,db4,60846.01,0.29,0.6,0.072007217,COMPLETE,0
79,TPE,0.71431,46:51.9,46:53.2,0 days 00:00:01.320134,,KNN,,EMD,0.3,COV,,minkowski,1,,,,,0.7,,,,,,60857.9,0.31,0.86,0.066258459,COMPLETE,0
80,TPE,0.7077,46:53.2,47:42.8,0 days 00:00:49.565839,,KNN,,EMD,0.35,COV,,minkowski,1,,,,,0.7,,,,,,60975.59,0.31,49.11,0.061341076,COMPLETE,0
81,TPE,0.71431,47:42.8,47:43.8,0 days 00:00:00.987471,,KNN,,EMD,0.3,COV,,minkowski,1,,,,,0.7,,,,,,60975.59,0.33,0.5,0.06256321,COMPLETE,0
82,TPE,0.71431,47:43.8,47:44.8,0 days 00:00:00.932101,,KNN,,EMD,0.3,COV,,minkowski,1,,,,,0.7,,,,,,60975.59,0.28,0.5,0.061182766,COMPLETE,0
83,TPE,0.77985,47:44.8,47:45.8,0 days 00:00:00.978156,,KNN,,EMD,0.3,COV,,minkowski,1,,,,,0.75,,,,,,60992.46,0.33,0.5,0.061589746,COMPLETE,0
84,TPE,0.77214,47:45.8,47:46.9,0 days 00:00:01.090766,,KNN,,EMD,0.35,COV,,minkowski,1,,,,,0.75,,,,,,61010.03,0.33,0.61,0.051290054,COMPLETE,0
85,TPE,0.76486,47:46.9,47:47.8,0 days 00:00:00.969178,,KNN,,EMD,0.25,COV,,minkowski,1,,,,,0.75,,,,,,61026.07,0.29,0.53,0.0510781,COMPLETE,0
86,TPE,0.59982,47:47.9,47:48.9,0 days 00:00:01.030758,,KNN,,EMD,0.25,COV,,minkowski,2,,,,,0.75,,,,,,61042.11,0.39,0.49,0.061808853,COMPLETE,0
87,TPE,0.77985,47:48.9,47:49.9,0 days 00:00:00.995138,,KNN,,EMD,0.3,COV,,minkowski,1,,,,,0.75,,,,,,61042.11,0.33,0.5,0.064647226,COMPLETE,0
88,TPE,0.01930081,47:49.9,48:03.8,0 days 00:00:13.869835,0.002001976,SVM,,EMD,0.35,COV,,,,,,,,0.75,,,sigmoid,,,,,0.54,,PRUNED,0
89,TPE,0.343007981,48:03.8,48:14.0,0 days 00:00:10.164871,,MLP,,EMD,0.2,COV,,,,0.008366149,,65,,0.75,,,,,,,,0.97,,PRUNED,0
